source_policy,policy,task,official_episode_id,repeat_id,seed,success,steps,error,timeout,horizon
cogact,cogact,stack,0,0,202706230,1,60,,0,60
cogact,cogact,stack,1,0,202706231,0,60,,0,60
cogact,cogact,stack,2,0,202706232,0,60,,0,60
cogact,cogact,stack,3,0,202706233,0,60,,0,60
cogact,cogact,stack,4,0,202706234,0,60,,0,60
cogact,cogact,stack,5,0,202706235,0,60,,0,60
cogact,cogact,stack,6,0,202706236,0,60,,0,60
cogact,cogact,stack,7,0,202706237,1,60,,0,60
cogact,cogact,stack,8,0,202706238,0,60,,0,60
cogact,cogact,stack,9,0,202706239,1,60,,0,60
cogact,cogact,stack,10,0,202706240,1,60,,0,60
cogact,cogact,stack,11,0,202706241,0,60,,0,60
cogact,cogact,stack,12,0,202706242,0,60,,0,60
cogact,cogact,stack,13,0,202706243,0,60,,0,60
cogact,cogact,stack,14,0,202706244,0,60,,0,60
cogact,cogact,stack,15,0,202706245,1,60,,0,60
cogact,cogact,stack,16,0,202706246,1,60,,0,60
cogact,cogact,stack,17,0,202706247,0,60,,0,60
cogact,cogact,stack,18,0,202706248,0,60,,0,60
cogact,cogact,stack,19,0,202706249,0,60,,0,60
cogact,cogact,stack,20,0,202706250,0,60,,0,60
cogact,cogact,stack,21,0,202706251,0,60,,0,60
cogact,cogact,stack,22,0,202706252,0,60,,0,60
cogact,cogact,stack,23,0,202706253,0,60,,0,60
cogact,cogact,stack,0,1,202706254,0,60,,0,60
cogact,cogact,stack,1,1,202706255,0,60,,0,60
cogact,cogact,stack,2,1,202706256,0,60,,0,60
cogact,cogact,stack,3,1,202706257,0,60,,0,60
cogact,cogact,stack,4,1,202706258,0,60,,0,60
cogact,cogact,stack,5,1,202706259,0,60,,0,60
cogact,cogact,stack,6,1,202706260,0,60,,0,60
cogact,cogact,stack,7,1,202706261,1,60,,0,60
cogact,cogact,stack,8,1,202706262,0,60,,0,60
cogact,cogact,stack,9,1,202706263,0,60,,0,60
cogact,cogact,stack,10,1,202706264,0,60,,0,60
cogact,cogact,stack,11,1,202706265,0,60,,0,60
cogact,cogact,stack,12,1,202706266,0,60,,0,60
cogact,cogact,stack,13,1,202706267,0,60,,0,60
cogact,cogact,stack,14,1,202706268,0,60,,0,60
cogact,cogact,stack,15,1,202706269,1,60,,0,60
cogact,cogact,stack,16,1,202706270,1,60,,0,60
cogact,cogact,stack,17,1,202706271,0,60,,0,60
cogact,cogact,stack,18,1,202706272,0,60,,0,60
cogact,cogact,stack,19,1,202706273,0,60,,0,60
cogact,cogact,stack,20,1,202706274,0,60,,0,60
cogact,cogact,stack,21,1,202706275,0,60,,0,60
cogact,cogact,stack,22,1,202706276,0,60,,0,60
cogact,cogact,stack,23,1,202706277,1,60,,0,60
cogact,cogact,stack,0,2,202706278,0,60,,0,60
cogact,cogact,stack,1,2,202706279,0,60,,0,60
cogact,cogact,stack,2,2,202706280,0,60,,0,60
cogact,cogact,stack,3,2,202706281,0,60,,0,60
