policy,policy_label,task,successes,total,success_rate,ci95_one_sided_lower,ci95_one_sided_upper,ci95_one_sided_lower_width,ci95_one_sided_upper_width,error_rows,timeout_rows
cogact,CogACT-Base,stack,60,288,0.20833333,0.17177510,0.25032055,0.03655824,0.04198721,0,0
cogact,CogACT-Base,carrot,122,288,0.42361111,0.37664709,0.47199701,0.04696403,0.04838590,0,0
cogact,CogACT-Base,spoon,194,288,0.67361111,0.62673167,0.71725902,0.04687944,0.04364791,0,0
cogact,CogACT-Base,eggplant,185,288,0.64236111,0.59477776,0.68729460,0.04758335,0.04493349,0,0
spatialvla,SpatialVLA,stack,36,288,0.12500000,0.09639467,0.16058544,0.02860533,0.03558544,0,0
spatialvla,SpatialVLA,carrot,60,288,0.20833333,0.17177510,0.25032055,0.03655824,0.04198721,0,0
spatialvla,SpatialVLA,spoon,48,288,0.16666667,0.13368241,0.20585547,0.03298426,0.03918880,0,0
spatialvla,SpatialVLA,eggplant,288,288,1.00000000,0.99069318,1.00000000,0.00930682,0.00000000,0,0
internvla_m1,InternVLA-M1,stack,73,288,0.25347222,0.21373879,0.29779444,0.03973343,0.04432221,0,0
internvla_m1,InternVLA-M1,carrot,143,288,0.49652778,0.44832532,0.54479487,0.04820246,0.04826709,0,0
internvla_m1,InternVLA-M1,spoon,218,288,0.75694444,0.71310456,0.79600166,0.04383989,0.03905722,0,0
internvla_m1,InternVLA-M1,eggplant,271,288,0.94097222,0.91376457,0.95997178,0.02720765,0.01899955,0,0
xvla,X-VLA-WidowX,stack,172,288,0.59722222,0.54899347,0.64364131,0.04822875,0.04641909,0,0
xvla,X-VLA-WidowX,carrot,204,288,0.70833333,0.66250225,0.75028658,0.04583108,0.04195324,0,0
xvla,X-VLA-WidowX,spoon,261,288,0.90625000,0.87409639,0.93084182,0.03215361,0.02459182,0,0
xvla,X-VLA-WidowX,eggplant,197,288,0.68402778,0.63743243,0.72719770,0.04659535,0.04316992,0,0
dexbotic,Dexbotic / DB-MemVLA,stack,129,288,0.44791667,0.40042543,0.49637736,0.04749123,0.04846069,0,0
dexbotic,Dexbotic / DB-MemVLA,carrot,123,288,0.42708333,0.38003689,0.47548702,0.04704645,0.04840369,0,0
dexbotic,Dexbotic / DB-MemVLA,spoon,206,288,0.71527778,0.66969214,0.75685632,0.04558564,0.04157854,0,0
dexbotic,Dexbotic / DB-MemVLA,eggplant,287,288,0.99652778,0.98458838,0.99922499,0.01193940,0.00269721,0,0
