paper_name,libero_spatial,libero_object,libero_goal,libero_long10,libero_spatial_prev_sota,libero_object_prev_sota,libero_goal_prev_sota,libero_long10_prev_sota
TAIL: Task-specific Adapters for Imitation Learning with Large Pretrained Models,,,,70.0,,,,48.0
A Probabilistic Model for Skill Acquisition with Switching Latent Feedback Controllers,,,83.0,,,,69.0,
BAKU: An Efficient Transformer for Multi-Task Policy Learning,,,,86.0,,,,68.0
Depth Helps: Improving Pre-trained RGB-based Policy with Depth Information Injection,71.2,78.6,66.4,36.4,69.6,86.2,64.8,28.0
Diffusion Transformer Policy,84.2,96.3,85.4,63.8,84.9,92.5,84.6,53.7
Efficient Diffusion Transformer Policies with Mixture of Expert Denoisers for Multitask Learning,,,,92.0,,,,73.0
EXTRACT: Efficient Policy Learning by Extracting Transferrable Robot Skills from Offline Data,,,,,,,,
GRAPE: Generalizing Robot Policy via Preference Alignment,85.0,92.1,83.1,57.2,84.2,88.6,82.9,52.6
MaIL: Improving Imitation Learning with Mamba,53.8,81.5,56.5,41.7,47.3,81.2,51.8,37.3
Multimodal Diffusion Transformer: Learning Versatile Behavior from Multimodal Goals,78.5,87.5,73.5,64.8,71.8,72.0,76.3,47.3
OpenVLA: An Open-Source Vision-Language-Action Model,84.7,88.4,79.2,53.7,78.9,92.5,84.6,51.1
Predictive Inverse Dynamics Models are Scalable Learners for Robotic Manipulation,,,,87.7,,,,77.3
Quantization-Aware Imitation-Learning for Resource-Efficient Robotic Control,84.4,83.6,76.4,50.4,83.6,83.8,76.6,50.8
QueST: Self-Supervised Skill Abstractions for Learning Continuous Control,,,,68.8,,,,59.3
Robo-MUTUAL: Robotic Multimodal Task Specification via Unimodal Learning,72.0,93.9,62.9,,44.1,63.9,5.0,
Task-agnostic Lifelong Robot Learning with Retrieval-based Weighted Local Adaptation,39.83,62.33,62.33,,15.67,56.5,52.33,
TraceVLA: Visual Trace Prompting Enhances Spatial-Temporal Awareness for Generalist Robotic Policies,84.6,85.2,75.1,54.1,82.6,83.8,70.4,45.7
3D Dynamics-Aware Manipulation: Endowing Manipulation Policies with 3D Foresight,96.4,98.0,94.8,92.0,94.0,94.8,91.6,86.4
4D-VLA: Spatiotemporal Vision-Language-Action Pretraining with Cross-Scene Calibration,88.9,95.2,90.9,79.1,88.2,92.5,84.6,55.5
ActDistill: General Action-Guided Self-Derived Distillation for Efficient Vision-Language-Action Models,81.8,85.8,72.4,55.8,84.4,86.6,76.4,53.2
Action-aware Dynamic Pruning for Efficient Vision-Language-Action Manipulation,99.4,98.0,96.4,91.2,98.6,98.2,96.6,94.8
ActionSink: Toward Precise Robot Manipulation with Dynamic Integration of Action Flow,72.83,72.67,80.00,47.00,69.17,68.0,77.83,39.33
AsyncVLA: Asynchronous Flow Matching for Vision-Language-Action Models,98.4,99.2,98.6,93.4,98.8,98.8,98.2,92.4
Atomic Action Slicing: Planner-Aligned Options for Generalist VLA Agents,,,95.3,88.8,,,94.2,83.8
Audio-VLA: Adding Contact Audio Perception to Vision-Language-Action Model for Robotic Manipulation,98.3,98.5,98.2,95.4,97.6,98.4,97.9,94.5
BadVLA: Towards Backdoor Attacks on Vision-Language-Action Models via Objective-Decoupled Optimization,96.7,96.7,95.0,95.0,95.0,98.3,98.3,95.0
Balancing Signal and Variance: Adaptive Offline RL Post-Training for VLA Flow Models,95.8,95.0,94.9,82.6,95.6,94.3,94.4,81.4
Beyond Human Demonstrations: Diffusion-Based Reinforcement Learning to Generate Data for VLA Training,83.40,99.00,83.80,63.00,80.4,92.0,83.2,66.0
BitVLA: 1-bit Vision-Language-Action Models for Robotics Manipulation,96.6,99.0,95.4,92.8,97.6,98.8,97.9,94.5
Bridging Scale Discrepancies in Robotic Control via Language-Based Action Representations,84.8,90.0,82.2,55.4,84.7,92.5,84.6,53.7
CLIP-RT: Learning Language-Conditioned Robotic Policies from Natural Language Supervision,95.2,99.2,94.2,83.8,96.2,98.3,96.2,90.7
CoA-VLA: Improving Vision-Language-Action Models via Visual-Textual Chain-of-Affordance,85.3,93.1,85.8,55.0,84.7,92.5,84.6,53.7
CogVLA: Cognition-Aligned Vision-Language-Action Model via Instruction-Driven Routing &amp; Sparsification,98.6,98.8,96.6,95.4,98.0,98.8,97.9,94.5
Compressor-VLA: Instruction-Guided Visual Token Compression for Efficient Robotic Manipulation,98.8,99.2,96.4,94.8,99.0,98.8,97.9,94.5
Conditioning Matters: Training Diffusion Policies is Faster Than You Think,97.5,99.1,93.8,88.7,97.6,98.8,97.9,94.5
Confidence Calibration in Vision-Language-Action Models,,,,,,,,
CoT-VLA: Visual Chain-of-Thought Reasoning for Vision-Language-Action Models,87.5,91.6,87.6,69.0,84.7,92.5,84.6,53.7
CronusVLA: Towards Efficient and Robust Manipulation via Multi-Frame Vision-Language-Action Modeling,97.3,99.6,96.9,94.0,97.6,98.4,97.9,94.5
Cross-Platform Scaling of Vision-Language-Action Models from Edge to Cloud GPUs,98.0,99.5,96.0,94.0,96.2,98.3,96.2,90.7
D2E: Scaling Vision-Action Pretraining on Desktop Data for Transfer to Embodied AI,95.8,98.4,98.6,93.6,98.0,98.4,97.9,94.5
Decoupled Action Expert: Confining Task Knowledge to the Conditioning Pathway,87.1,98.6,82.0,68.9,89.5,93.1,78.3,56.2
DeepThinkVLA: Enhancing Reasoning Capability of Vision-Language-Action Models,96.6,99.0,96.4,96.2,96.8,98.8,95.8,92.0
Dejavu: Towards Experience Feedback Learning for Embodied Intelligence,98.2,98.2,97.6,94.6,97.5,97.9,96.6,92.0
DepthVLA: Enhancing Vision-Language-Action Models with Depth-Aware Spatial Reasoning,96.4,98.0,95.8,89.2,97.5,98.8,95.8,89.5
DiG-Flow: Discrepancy-Guided Flow Matching for Robust VLA Models,99.2,99.0,98.6,96.4,98.8,98.4,98.0,94.5
Discrete Diffusion VLA: Bringing Discrete Diffusion to Action Decoding in Vision-Language-Action Policies,97.2,98.6,97.4,92.0,96.9,98.8,96.2,92.0
Distributional Diffusion Models with Scoring Rules,,,,,,,,
Dita: Scaling Diffusion Transformer for Generalist Vision-Language-Action Policy,97.4,94.8,93.2,83.6,84.9,92.5,84.6,53.7
Don't Run with Scissors: Pruning Breaks VLA Models but They Can Be Recovered,60.2,71.2,47.0,26.6,88.4,85.8,81.0,55.8
Dream-VL & Dream-VLA: Open Vision-Language and Vision-Language-Action Models with Diffusion Language Model Backbone,97.6,98.8,97.2,95.0,97.6,98.8,97.9,94.5
dVLA: Diffusion Vision-Language-Action Model with Multimodal Chain-of-Thought,97.4,97.9,98.2,92.2,97.2,98.8,97.4,92.0
E0: Enhancing Generalization and Fine-Grained Control in VLA Models via Tweedie Discrete Diffusion,97.2,99.4,95.0,92.2,96.8,98.8,97.2,89.6
EmbodiedMAE: A Unified 3D Multi-Modal Representation for Robot Manipulation,,,,,,,,
"End-to-end Listen, Look, Speak and Act",90.8,95.8,86.4,84.4,96.4,96.8,88.6,69.0
EnerVerse: Envisioning Embodied Future Space for Robotics Manipulation,91.2,97.7,85.0,80.0,84.7,92.5,84.6,78.6
Evo-1: Lightweight Vision-Language-Action Model with Preserved Semantic Alignment,92.7,97.7,96.3,92.3,96.8,98.8,95.8,90.6
EVOLVE-VLA: Test-Time Training from Environment Feedback for Vision-Language-Action Models,95.4,97.4,95.8,94.4,96.8,98.8,95.8,92.0
ExpReS-VLA: Specializing Vision-Language-Action Models Through Experience Replay and Retrieval,93.1,93.9,95.4,72.3,95.2,97.5,96.3,95.6
Fast ECoT: Efficient Embodied Chain-of-Thought via Thoughts Reuse,85,83,83,69,84.0,87.0,84.0,57.0
FAST: Efficient Action Tokenization for Vision-Language-Action Models,,,,,,,,
FASTer: Toward Efficient Autoregressive Vision Language Action Modeling via Neural Action Tokenization,98.0,99.4,98.6,95.4,98.8,98.8,98.0,94.5
Fine-Tuning Vision-Language-Action Models: Optimizing Speed and Success,97.6,98.4,97.9,94.5,96.8,98.8,95.8,87.7
FLOWER: Democratizing Generalist Robot Policies with Efficient Vision-Language-Action Flow Policies,97.5,99.1,96.1,94.9,98.0,98.8,97.9,94.5
Focusing on What Matters: Object-Agent-centric Tokenization for Vision Language Action models,87.3,89.1,82.1,55.9,84.7,92.5,84.6,53.7
FreqPolicy: Efficient Flow-based Visuomotor Policy via Frequency Consistency,97.0,98.6,96.0,87.6,96.6,98.6,97.8,90.6
From Grounding to Manipulation: Case Studies of Foundation Model Integration in Embodied Robotic Systems,92.2,95.4,89.4,74.6,96.8,98.8,95.8,85.2
GeoAware-VLA: Implicit Geometry Aware Vision-Language-Action Model,95.0,100.0,99.0,93.0,98.0,100.0,98.0,93.0
GeoPredict: Leveraging Predictive Kinematics and 3D Gaussian Geometry for Precise VLA Manipulation,98.0,98.2,95.7,94.0,97.5,98.8,95.8,93.2
Goal-oriented Backdoor Attack against Vision-Language-Action Models via Physical Objects,97.5,99.1,95.5,87.3,96.8,98.8,95.8,85.2
H-GAR: A Hierarchical Interaction Framework via Goal-Driven Observation-Action Refinement for Robotic Manipulation,,,,94.0,,,,92.0
"HiF-VLA: Hindsight, Insight and Foresight through Motion Representation for Vision-Language-Action Models",98.8,99.4,97.4,96.4,98.4,98.8,97.9,94.5
HiMoE-VLA: Hierarchical Mixture-of-Experts for Generalist Vision-Language-Action Policies,98.2,99.4,98.6,94.8,97.6,98.8,97.9,94.5
How Do VLAs Effectively Inherit from VLMs?,82,92,89,83,97.0,99.0,96.0,85.0
Hybrid Training for Vision-Language-Action Models,94.0,97.2,96.2,89.4,96.4,97.8,91.4,84.8
HyperVLA: Efficient Inference in Vision-Language-Action Models via Hypernetworks,95,94,92,74,85.0,88.0,85.0,54.0
IDAGC: Adaptive Generalized Human-Robot Collaboration via Human Intent Estimation and Multimodal Policy Learning,,,,91.0,,,,85.0
iFlyBot-VLA Technical Report,,,93.0,,89.9,88.4,95.0,72.9
Interactive Post-Training for Vision-Language-Action Models,98.6,98.6,99.0,93.8,97.6,98.8,97.9,92.9
InternVLA-M1: A Spatially Guided Vision-Language-Action Framework for Generalist Robot Policy,98.0,99.0,93.8,92.6,98.0,98.8,95.8,90.6
"Knowledge Insulating Vision-Language-Action Models: Train Fast, Run Fast, Generalize Better",98.0,97.8,95.6,85.8,97.6,98.8,97.9,94.5
LaDi-WM: A Latent Diffusion-based World Model for Predictive Manipulation,,,,68.7,,,,53.6
LatBot: Distilling Universal Latent Actions for Vision-Language-Action Models,99.0,98.8,98.6,95.4,98.8,98.4,98.0,93.4
Latent Action Pretraining Through World Modeling,99.0,100.0,96.0,94.0,98.8,100.0,98.0,92.4
Leave No Observation Behind: Real-time Correction for VLA Action Chunks,,,,,,,,
LIBERO-Plus: In-depth Robustness Analysis of Vision-Language-Action Models,,,,,,,,
LIBERO-PRO: Towards Robust and Fair Evaluation of Vision-Language-Action Models Beyond Memorization,,,,,,,,
LoLA: Long Horizon Latent Action Learning for General Robot Manipulation,99.6,99.6,97.2,88.2,91.4,97.8,94.0,85.4
Mantis: A Versatile Vision-Language-Action Model with Disentangled Visual Foresight,98.8,99.2,94.4,94.2,98.2,98.8,95.8,94.0
MAP-VLA: Memory-Augmented Prompting for Vision-Language-Action Model in Robotic Manipulation,96.3,98.4,95.4,83.4,93.5,97.4,91.5,76.4
MAPS: Preserving Vision-Language Representations via Module-Wise Proximity Scheduling for Better Vision-Language-Action Generalization,6.0,14.0,0.0,8.0,3.0,9.0,7.0,7.0
Masked Generative Policy for Robotic Control,,,,82.0,,,,68.0
MemoryVLA: Perceptual-Cognitive Memory in Vision-Language-Action Models for Robotic Manipulation,98.4,98.4,96.4,93.4,97.2,98.8,95.8,88.8
MergeVLA: Cross-Skill Model Merging Toward a Generalist Vision-Language-Action Agent,94.8,94.6,91.8,79.4,99.6,99.6,98.2,96.4
MetaVLA: Unified Meta Co-training For Efficient Embodied Adaption,89.9,88.9,78.7,59.8,98.8,98.2,98.0,92.4
Mixture of Horizons in Action Chunking,98.8,100.0,98.8,98.4,99.4,99.6,98.8,97.6
Multimodal Reinforcement Learning with Adaptive Verifier for AI Agents,91.2,93.2,87.8,63.8,93.6,89.2,89.6,67.8
NORA: A Small Open-Sourced Generalist Vision Language Action Model for Embodied Tasks,92.2,95.4,89.4,74.6,88.2,89.9,79.2,55.5
PixelVLA: Advancing Pixel-level Understanding in Vision-Language-Action Model,88.5,90.0,85.8,82.6,88.2,96.3,87.6,69.0
Reflection-Based Task Adaptation for Self-Improving VLA,92.0,93.4,85.2,63.6,96.4,96.8,88.6,60.2
Reinforcement Fine-Tuning of Flow-Matching Policies for Vision-Language-Action Models,97.2,97.3,89.4,65.3,96.4,96.8,88.6,60.2
RESample: A Robust Data Augmentation Framework via Exploratory Sampling for Robotic Manipulation,96.4,96.4,91.4,87.4,95.2,97.6,91.2,79.8
Resolving State Ambiguity in Robot Manipulation via Adaptive Working Memory Recoding,,,,84.7,,,,85.2
Rethinking Latent Redundancy in Behavior Cloning: An Information Bottleneck Approach for Robot Manipulation,70.67,52.00,83.83,8.67,68.0,43.0,76.17,15.83
RetoVLA: Reusing Register Tokens for Spatial Reasoning in Vision-Language-Action Models,76.2,71.8,80.4,50.4,75.8,70.8,80.4,50.4
RLinf-VLA: A Unified and Efficient Framework for Reinforcement Learning of Vision-Language-Action Models,98.93,99.67,98.32,93.55,51.61,50.2,49.4,11.9
RoboNeuron: A Middle-Layer Infrastructure for Agent-Driven Orchestration in Embodied AI,98.8,98.0,97.6,94.4,98.6,97.6,97.2,95.8
Robotic VLA Benefits from Joint Learning with Motion Image Diffusion,98.4,99.2,96.0,96.2,98.8,98.8,98.0,92.4
RynnVLA-002: A Unified Vision-Language-Action and World Model,99.0,99.8,96.4,94.4,97.6,98.4,97.9,94.5
Saliency-Aware Quantized Imitation Learning for Efficient Robotic Control,83.9,83.5,76.3,49.2,84.0,83.9,76.6,50.7
Self-Improving Vision-Language-Action Models with Data Generation via Residual RL,99.5,99.1,98.9,,95.2,99.1,87.4,
SemanticVLA: Semantic-Aligned Sparsification and Enhancement for Efficient Robotic Manipulation,98.6,99.6,97.6,94.8,97.6,98.8,97.9,94.5
SimpleVLA-RL: Scaling VLA Training via Reinforcement Learning,99.4,99.1,99.2,98.5,96.8,98.8,95.8,92.0
SmolVLA: A Vision-Language-Action Model for Affordable and Efficient Robotics,90,96,92,71,90.0,92.5,95.0,73.0
Spatial-Aware VLA Pretraining through Visual-Physical Alignment from Human Videos,92.6,97.2,94.2,85.6,91.4,97.6,94.0,85.6
Spatial Forcing: Implicit Spatial Representation Alignment for Vision-language-action Model,99.4,99.6,98.8,96.0,98.4,99.8,98.2,96.6
SpatialVLA: Exploring Spatial Representations for Visual-Language-Action Model,88.2,89.9,78.6,55.5,84.7,92.5,84.6,54.1
Spec-VLA: Speculative Decoding for Vision-Language-Action Models with Relaxed Acceptance,85.8,85.0,74.4,55.0,85.0,89.0,78.0,52.0
SpecPrune-VLA: Accelerating Vision-Language-Action Models via Action-Aware Self-Speculative Pruning,97.4,95.8,97.7,93.4,99.0,98.8,97.9,94.5
STAR: Learning Diverse Robot Skill Abstractions through Rotation-Augmented Vector Quantization,95.5,98.3,95.0,88.5,88.7,90.3,84.6,69.1
Survey of Vision-Language-Action Models for Embodied Manipulation,,,,,,,,
TGRPO: Fine-tuning Vision-Language-Action Model via Trajectory-wise Group Relative Policy Optimization,90.4,92.2,81.0,59.2,88.5,92.1,83.1,57.2
"The Better You Learn, The Smarter You Prune: Towards Efficient Vision-language-action Models via Differentiable Token Pruning",98.4,98.4,98.2,94.6,97.6,98.8,95.8,92.0
"Think Twice, Act Once: Token-Aware Compression and Action Reuse for Efficient Inference in Vision-Language-Action Models",82.6,86.6,78.8,46.8,84.2,86.4,75.4,51.4
Token Expand-Merge: Training-Free Token Compression for Vision-Language-Action Models,99.2,96.5,97.0,93.8,99.0,97.7,97.9,94.5
Unified Diffusion VLA: Vision-Language-Action Model via Joint Discrete Denoising Diffusion Process,94.1,95.7,91.2,89.6,97.5,96.8,91.6,89.5
Unified Video Action Model,,,,90.0,,,,85.0
Unified Vision-Language-Action Model,95.4,98.8,93.6,94.0,96.4,96.8,88.6,69.0
UniVLA: Learning to Act Anywhere with Task-centric Latent Actions,96.5,96.8,95.6,92.0,84.7,92.5,84.6,78.6
Verifier-free Test-Time Sampling for Vision Language Action Models,97.2,98.0,94.5,82.7,97.4,95.4,95.6,79.6
ViPRA: Video Prediction for Robot Actions,,,,79.0,,,,92.0
VITA-VLA: Efficiently Teaching Vision-Language Models to Act via Action Expert Distillation,98.0,99.8,97.9,93.5,96.4,96.8,88.6,69.0
VLA-0: Building State-of-the-Art VLAs with Zero Modification,97.0,97.8,96.2,87.6,98.0,98.8,97.9,94.5
VLA-Cache: Efficient Vision-Language-Action Manipulation via Adaptive Token Caching,98.3,97.5,98.3,95.4,97.8,97.6,97.6,94.2
